Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,40511,"Butalbital, Acetaminophen and Caffeine","BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE",20140602,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,APHENA PHARMA SOLUTIONS TENNESSEE LLC,2003/08/27-,67544-394,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1434df11-6e37-4722-a4c0-972e5c5899f8/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1434df11-6e37-4722-a4c0-972e5c5899f8,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1434df11-6e37-4722-a4c0-972e5c5899f8,1434df11-6e37-4722-a4c0-972e5c5899f8
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,40261,"Butalbital, Acetaminophen, and Caffeine","BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE",20131119,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,WEST WARD PHARMACEUTICAL CORP,1998/10/28-,0143-0170,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/07b47cba-fadc-437e-9a9a-845ee1cce591/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=07b47cba-fadc-437e-9a9a-845ee1cce591,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=07b47cba-fadc-437e-9a9a-845ee1cce591,07b47cba-fadc-437e-9a9a-845ee1cce591
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,40513,"Butalbital, Acetaminophen and Caffeine","BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE",20121009,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,REBEL DISTRIBUTORS CORP,2003/08/25-,42254-323,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4b874a3d-db5a-40dc-a69c-d67c76b82b49/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4b874a3d-db5a-40dc-a69c-d67c76b82b49,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4b874a3d-db5a-40dc-a69c-d67c76b82b49,4b874a3d-db5a-40dc-a69c-d67c76b82b49
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,89718,"Butalbital, Acetaminophen, and Caffeine","BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE",20120329,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,STAT RX USA LLC,1995/06/12-,42549-553,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a04406b8-08fc-4d44-8b3c-63da3d7fb55b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a04406b8-08fc-4d44-8b3c-63da3d7fb55b,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a04406b8-08fc-4d44-8b3c-63da3d7fb55b,a04406b8-08fc-4d44-8b3c-63da3d7fb55b
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,40513,"Butalbital, Acetaminophen and Caffeine","BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE",20110906,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,H J HARKINS COMPANY INC,2003/08/25-,52959-913,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/97768690-6a7f-4690-8684-371c89bea71c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=97768690-6a7f-4690-8684-371c89bea71c,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=97768690-6a7f-4690-8684-371c89bea71c,97768690-6a7f-4690-8684-371c89bea71c
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,89718,"Butalbital, Acetaminophen, and Caffeine","BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE",20100920,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,REBEL DISTRIBUTORS CORP,1995/06/12-,21695-209,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,Acetaminophen; Butalbital; Caffeine,Acetaminophen; Butalbital; Caffeine,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/fef4844c-2b44-4e5c-9da3-e5b2214c9e8d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fef4844c-2b44-4e5c-9da3-e5b2214c9e8d,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fef4844c-2b44-4e5c-9da3-e5b2214c9e8d,fef4844c-2b44-4e5c-9da3-e5b2214c9e8d
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,40885,ORBIVAN,"BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE",20100423,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,ATLEY PHARMACEUTICALS INC,2010/04/23-,59702-661,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d3c69436-a681-4e00-8db0-8cbfaac9627e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d3c69436-a681-4e00-8db0-8cbfaac9627e,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d3c69436-a681-4e00-8db0-8cbfaac9627e,d3c69436-a681-4e00-8db0-8cbfaac9627e
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,40885,"Butalbital, Acetaminophen, and Caffeine","BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE CAPSULES",20190906,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,NEXGEN PHARMA INC,2009/11/16-,0722-7029,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/611356c6-9cf6-4316-a9cb-e7756955755b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=611356c6-9cf6-4316-a9cb-e7756955755b,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=611356c6-9cf6-4316-a9cb-e7756955755b,611356c6-9cf6-4316-a9cb-e7756955755b
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,206615,Phrenilin Forte,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE",20190301,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,WRASER LLC,2017/09/18-,66992-955,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d8f3608b-814d-4f73-a64a-f60f59231a55/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d8f3608b-814d-4f73-a64a-f60f59231a55,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d8f3608b-814d-4f73-a64a-f60f59231a55,d8f3608b-814d-4f73-a64a-f60f59231a55
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,76560,"Butalbital, Acetaminophen, Caffeine and Codeine Phosphate","BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",20190424,Barbiturate; Central Nervous System Stimulant; Methylxanthine,1992,BRECKENRIDGE PHARMACEUTICAL INC,2004/07/01-,51991-073,362O9ITL9D; 3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK,Acetaminophen; Butalbital; Caffeine; Codeine Phosphate,Acetaminophen; Butalbital; CODEINE ANHYDROUS; Caffeine,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d74db417-d2de-495b-bb75-46a83745603d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d74db417-d2de-495b-bb75-46a83745603d,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d74db417-d2de-495b-bb75-46a83745603d,d74db417-d2de-495b-bb75-46a83745603d
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,76560,"Butalbital, Acetaminophen, Caffeine and Codeine Phosphate","BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",20180221,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,,BRYANT RANCH PREPACK,2004/07/01-,71335-0194,362O9ITL9D; 3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE ANHYDROUS,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/15a34df5-e48f-4570-9232-80e4093c4624/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=15a34df5-e48f-4570-9232-80e4093c4624,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=15a34df5-e48f-4570-9232-80e4093c4624,15a34df5-e48f-4570-9232-80e4093c4624
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,76560,"Butalbital, Acetaminophen, Caffeine and Codeine Phosphate","BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",20111003,Barbiturate; Central Nervous System Stimulant; Methylxanthine,,DISPENSING SOLUTIONS INC,2004/07/01-,68258-2012,362O9ITL9D; 3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK,Acetaminophen; Butalbital; Caffeine; Codeine Phosphate,Acetaminophen; Butalbital; Caffeine; Codeine,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK; Q830PW7520,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7fd761e6-64fe-44cc-8b74-10ce31ccfd66/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7fd761e6-64fe-44cc-8b74-10ce31ccfd66,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7fd761e6-64fe-44cc-8b74-10ce31ccfd66,7fd761e6-64fe-44cc-8b74-10ce31ccfd66
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,76560,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE",20190909,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,1992,NEXGEN PHARMA INC,2004/06/10-,0722-6670,362O9ITL9D; 3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE ANHYDROUS,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8c1edb39-1ae9-44f1-b23b-387b715a3df6/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8c1edb39-1ae9-44f1-b23b-387b715a3df6,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8c1edb39-1ae9-44f1-b23b-387b715a3df6,8c1edb39-1ae9-44f1-b23b-387b715a3df6
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,76560,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE",20190909,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,1992,NEXGEN PHARMA INC,2004/06/10-,0722-7028,362O9ITL9D; 3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE ANHYDROUS,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/8f8c5c01-5859-4843-adf4-8116ddaedc90/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8f8c5c01-5859-4843-adf4-8116ddaedc90,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8f8c5c01-5859-4843-adf4-8116ddaedc90,8f8c5c01-5859-4843-adf4-8116ddaedc90
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,75929,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE",20190809,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,1992,PAR PHARMACEUTICAL,2002/04/22-,0603-2553,362O9ITL9D; 3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE ANHYDROUS,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6f8cced0-4749-4a11-8f00-96d8c23c1cfd/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6f8cced0-4749-4a11-8f00-96d8c23c1cfd,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6f8cced0-4749-4a11-8f00-96d8c23c1cfd,6f8cced0-4749-4a11-8f00-96d8c23c1cfd
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,76560,Fioricet with Codeine,"BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE",20190301,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,1992,ACTAVIS PHARMA INC,2013/07/29-,52544-082,362O9ITL9D; 3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE ANHYDROUS,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/df9801fc-03fe-41da-a6b3-0f76788217c9/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=df9801fc-03fe-41da-a6b3-0f76788217c9,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=df9801fc-03fe-41da-a6b3-0f76788217c9,df9801fc-03fe-41da-a6b3-0f76788217c9
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,76560,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE",20190301,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,1992,ACTAVIS PHARMA INC,2013/07/29-,0591-2641,362O9ITL9D; 3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE ANHYDROUS,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/52321fe5-c001-4e2d-8149-3197ddc13764/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=52321fe5-c001-4e2d-8149-3197ddc13764,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=52321fe5-c001-4e2d-8149-3197ddc13764,52321fe5-c001-4e2d-8149-3197ddc13764
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA authorized generic,20232,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE",20180627,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,1992,ACTAVIS PHARMA INC,2003/09/18-,0591-3220,362O9ITL9D; 3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE ANHYDROUS,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a58819b8-a52c-44a7-9ab0-c74480d98506/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a58819b8-a52c-44a7-9ab0-c74480d98506,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a58819b8-a52c-44a7-9ab0-c74480d98506,a58819b8-a52c-44a7-9ab0-c74480d98506
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA authorized generic,20232,"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","BUTALBITAL, ACETAMINOPHEN, CAFFEINE, AND CODEINE PHOSPHATE",20171213,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,1992,BRYANT RANCH PREPACK,2003/09/18-,63629-3152,362O9ITL9D; 3G6A5W338E; GSL05Y1MN6; KHS0AZ4JVK,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE ANHYDROUS,362O9ITL9D; 3G6A5W338E; KHS0AZ4JVK; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3f0c092b-08db-4e8f-136a-456e0e7bec14/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3f0c092b-08db-4e8f-136a-456e0e7bec14,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3f0c092b-08db-4e8f-136a-456e0e7bec14,3f0c092b-08db-4e8f-136a-456e0e7bec14
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,204195,"Butalbital, Aspirin and Caffeine","BUTALBITAL, ASPIRIN AND CAFFEINE",20181008,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,VENSUN PHARMACEUTICALS INC,2017/06/22-,42543-098,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,Aspirin; Butalbital; Caffeine,Aspirin; Butalbital; Caffeine,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ce47777f-8cf7-4f53-b48f-165b83516896/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ce47777f-8cf7-4f53-b48f-165b83516896,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ce47777f-8cf7-4f53-b48f-165b83516896,ce47777f-8cf7-4f53-b48f-165b83516896
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,86162,"Butalbital, Aspirin and Caffeine","BUTALBITAL, ASPIRIN AND CAFFEINE",20120103,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,H J HARKINS COMPANY,1979/06/05-,52959-370,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE,ASPIRIN; BUTALBITAL; CAFFEINE,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2ef4b16c-f553-4a79-b5ee-7893aeb0eae3/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2ef4b16c-f553-4a79-b5ee-7893aeb0eae3,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2ef4b16c-f553-4a79-b5ee-7893aeb0eae3,2ef4b16c-f553-4a79-b5ee-7893aeb0eae3
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,86162,"Butalbital, Aspirin and Caffeine","BUTALBITAL, ASPIRIN AND CAFFEINE",20110929,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,DISPENSING SOLUTIONS INC,1979/06/05-,66336-619,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE,ASPIRIN; BUTALBITAL; CAFFEINE,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/657e4c4a-e50c-49f7-99b4-32395ec19bd8/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=657e4c4a-e50c-49f7-99b4-32395ec19bd8,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=657e4c4a-e50c-49f7-99b4-32395ec19bd8,657e4c4a-e50c-49f7-99b4-32395ec19bd8
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,86162,"Butalbital, Aspirin and Caffeine","BUTALBITAL, ASPIRIN AND CAFFEINE",20101210,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,REBEL DISTRIBUTORS CORP,2009/12/15-,21695-354,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE,ASPIRIN; BUTALBITAL; CAFFEINE,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4e10129b-41a3-4572-9564-6f8366b627dc/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4e10129b-41a3-4572-9564-6f8366b627dc,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4e10129b-41a3-4572-9564-6f8366b627dc,4e10129b-41a3-4572-9564-6f8366b627dc
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA authorized generic,17534,"Butalbital, Aspirin, and Caffeine","BUTALBITAL, ASPIRIN, AND CAFFEINE",20190913,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,ACTAVIS PHARMA INC,2003/10/06-,0591-3219,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE,ASPIRIN; BUTALBITAL; CAFFEINE,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e31096f4-162f-44bd-a211-9c2873acfe54/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e31096f4-162f-44bd-a211-9c2873acfe54,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e31096f4-162f-44bd-a211-9c2873acfe54,e31096f4-162f-44bd-a211-9c2873acfe54
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,86996,"Butalbital, aspirin, and caffeine","BUTALBITAL, ASPIRIN, AND CAFFEINE",20181218,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,LAKE ERIE MEDICAL DBA QUALITY CARE PRODUCTS LLC,1985/10/11-,55700-129,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE,ASPIRIN; BUTALBITAL; CAFFEINE,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e334b580-ffc9-4ec7-836b-31b2211c730f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e334b580-ffc9-4ec7-836b-31b2211c730f,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e334b580-ffc9-4ec7-836b-31b2211c730f,e334b580-ffc9-4ec7-836b-31b2211c730f
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,17534,Fiorinal,"BUTALBITAL, ASPIRIN, AND CAFFEINE",20181114,Barbiturate; Central Nervous System Stimulant; Methylxanthine; Nonsteroidal Anti-inflammatory Drug; Platelet Aggregation Inhibitor,,ACTAVIS PHARMA INC,completed:1976/05/04-2020/01/31,52544-955,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,ASPIRIN; BUTALBITAL; CAFFEINE,ASPIRIN; BUTALBITAL; CAFFEINE,3G6A5W338E; KHS0AZ4JVK; R16CO5Y76E,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a00c6776-e9ef-411b-9396-915c3787559a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a00c6776-e9ef-411b-9396-915c3787559a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a00c6776-e9ef-411b-9396-915c3787559a,a00c6776-e9ef-411b-9396-915c3787559a
