dosageforms,routesofadministration,marketingcategory,applicationnumbers,tradename,genericpropernames,mostrecentspldateyyyymmdd,establishedpharmacologicclasses,initialusapproval,company,marketingdatesyyyymmdd,marketyear,ndcs,activeingredientuniis,activeingredients,activemoietynames,activemoietyuniis,fdalabellink,dailymedlink,setid,excipients,type
TABLET,ORAL,ANDA,40422,Adderall,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE, AND AMPHETAMINE SULFATE",20121023,Central Nervous System Stimulant,,BRYANT RANCH PREPACK,1996/02/13-,1996,63629-3768,6DPV8NK46S; G83415V073; H527KAP6L5; JJ768O327N,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/49b7d111-7045-4116-8988-ba93c7d63491/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=49b7d111-7045-4116-8988-ba93c7d63491,49b7d111-7045-4116-8988-ba93c7d63491,"colloidal silicon dioxide, crospovidone, microcrystalline cellulose, stearic acid",Stimulants
TABLET,ORAL,ANDA,40422,Adderall,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE, AND AMPHETAMINE SULFATE",20121023,Central Nervous System Stimulant,,BRYANT RANCH PREPACK,1996/02/13-,1996,63629-3769,6DPV8NK46S; G83415V073; H527KAP6L5; JJ768O327N,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/b6c8d902-4d43-46b0-b96c-00d8bed1b3dd/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b6c8d902-4d43-46b0-b96c-00d8bed1b3dd,b6c8d902-4d43-46b0-b96c-00d8bed1b3dd,"gelatin capsules, hydroxypropyl methylcellulose, methacrylic acid copolymer, opadry beige, sugar spheres, talc,, triethyl citrate",Stimulants
TABLET,ORAL,ANDA,202893,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE SULFATE,20190911,Central Nervous System Stimulant,,AUROLIFE PHARMA LLC,2013/07/31-,2013,13107-035; 13107-036,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/24163442-dd03-4066-a6ed-eb7e292b700b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=24163442-dd03-4066-a6ed-eb7e292b700b,24163442-dd03-4066-a6ed-eb7e292b700b,"colloidal silicon dioxide, magnesium stearate, pregelatinized starch",Stimulants
SOLUTION,ORAL,ANDA,40776,dextroamphetamine sulfate,DEXTROAMPHETAMINE SULFATE,20190904,Central Nervous System Stimulant,,AVADEL GENERICS LLC,2014/01/06-2020/09/30,2014,76181-002,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f56ea6e8-265a-4e2c-a489-2ad8a50d3157/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f56ea6e8-265a-4e2c-a489-2ad8a50d3157,f56ea6e8-265a-4e2c-a489-2ad8a50d3157,"fd&c blue #1, fd&c red #40, fd&c yellow #6, gelatin, microcrystalline cellulose, stearic acid, sodium lauryl sulfate, talc,, titanium dioxide",Stimulants
SOLUTION,ORAL,ANDA,40776,Procentra,DEXTROAMPHETAMINE SULFATE,20190904,Central Nervous System Stimulant,,INDEPENDENCE PHARMACEUTICALS LLC,2014/05/15-,2014,21724-701,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1548cce2-fb6b-4f17-8a3b-868933f6c9d6/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1548cce2-fb6b-4f17-8a3b-868933f6c9d6,1548cce2-fb6b-4f17-8a3b-868933f6c9d6,"gelatin capsules, hydroxypropyl methylcellulose, methacrylic acid copolymer, opadry beige, sugar spheres, talc,, triethyl citrate",Stimulants
TABLET,ORAL,ANDA,90533,Zenzedi,DEXTROAMPHETAMINE SULFATE,20190814,Central Nervous System Stimulant,,ARBOR PHARMACEUTICALS INC,2013/05/31-; 2014/05/01-,2013,24338-850; 24338-851; 24338-852; 24338-853; 24338-854; 24338-855; 24338-856,JJ768O327N,Dextroamphetamine Sulfate,Dextroamphetamine,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d6394df5-f2c9-47eb-b57e-f3e9cfd94f84/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d6394df5-f2c9-47eb-b57e-f3e9cfd94f84,d6394df5-f2c9-47eb-b57e-f3e9cfd94f84," spansule capsules: cetyl alcohol, d&c yellow no",Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,ANDA,203901,dextroamphetamine sulfate,DEXTROAMPHETAMINE SULFATE,20190508,Central Nervous System Stimulant,,ACTAVIS PHARMA INC,2014/06/19-,2014,45963-303; 45963-304; 45963-305,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/9e92ccc3-d81c-461d-a19f-7e9b582be357/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9e92ccc3-d81c-461d-a19f-7e9b582be357,9e92ccc3-d81c-461d-a19f-7e9b582be357,"corn starch, hydrogenated vegetable oil, microcrystalline cellulose, pregelatinized starch, sodium starch glycolate, talc",Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,ANDA,76353,Dextroamphetamine Sulfate Extended-Release,DEXTROAMPHETAMINE SULFATE,20190412,Central Nervous System Stimulant,,AMERICAN HEALTH PACKAGING,2015/09/29-2020/04/30,2015,60687-150,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/669a308e-ce09-4ac8-84d9-ee252c5d3223/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=669a308e-ce09-4ac8-84d9-ee252c5d3223,669a308e-ce09-4ac8-84d9-ee252c5d3223,"gelatin capsules, hydroxypropyl methylcellulose, methacrylic acid copolymer, opadry beige, sugar spheres, talc,, triethyl citrate",Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,ANDA,203901,dextroamphetamine sulfate,DEXTROAMPHETAMINE SULFATE,20190329,Central Nervous System Stimulant,,MAYNE PHARMA INC,2016/08/05-,2016,51862-344; 51862-345; 51862-346,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/448c2930-3a4e-4e29-9269-a343991d2877/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=448c2930-3a4e-4e29-9269-a343991d2877,448c2930-3a4e-4e29-9269-a343991d2877,"colloidal silicon dioxide, compressible sugar, corn starch, magnesium stearate, microcrystalline cellulose, saccharin sodium",Stimulants
TABLET,ORAL,ANDA,206588,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE SULFATE,20181231,Central Nervous System Stimulant,,ZYDUS PHARMACEUTICALS USA INC,2016/03/28-,2016,68382-941; 68382-942,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0d50f495-f1e0-4231-b0c3-6ebb7ad68f4e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0d50f495-f1e0-4231-b0c3-6ebb7ad68f4e,0d50f495-f1e0-4231-b0c3-6ebb7ad68f4e,"colloidal silicon dioxide, croscarmellose sodium, magnesium stearate, microcrystalline cellulose,, stearic acid",Stimulants
TABLET,ORAL,ANDA,203548,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,20181219,Central Nervous System Stimulant,,KVK TECH INC,2015/11/23-,2015,10702-065; 10702-066,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/863d66fe-9c38-463a-afa1-552647494c5a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=863d66fe-9c38-463a-afa1-552647494c5a,863d66fe-9c38-463a-afa1-552647494c5a,"microcrystalline cellulose, crospovidone, croscarmellose sodium, corn starch, stearic acid, colloidal silicon dioxide, magnesium stearate,, fd&c blue no",Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,NDA authorized generic,17078,Dextroamphetamine Sulfate Extended-Release,DEXTROAMPHETAMINE SULFATE,20181207,Central Nervous System Stimulant,,LINEAGE THERAPEUTICS INC,1976/08/02-2019/11/01; completed:1976/08/02-2019/12/01,1976,54505-327; 54505-328; 54505-329,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6ca9dd45-08f8-11e3-8ffd-0800200c9a66/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6ca9dd45-08f8-11e3-8ffd-0800200c9a66,6ca9dd45-08f8-11e3-8ffd-0800200c9a66,"acetyltributyl citrate, ethylcellulose, gelatin, hypromellose, hypromellose acetate succinate, sugar spheres (which contain sucrose, starch [maize]), talc, titanium dioxide",Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,NDA,17078,DEXEDRINE SPANSULE,DEXTROAMPHETAMINE SULFATE,20181207,Central Nervous System Stimulant,,AMEDRA PHARMACEUTICALS LLC,1976/08/02-2019/12/01,1976,52054-512; 52054-513; 52054-514,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a37b6ef9-78b4-4b18-8797-ecb583502500/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a37b6ef9-78b4-4b18-8797-ecb583502500,a37b6ef9-78b4-4b18-8797-ecb583502500,d&c yellow no,Stimulants
TABLET,ORAL,ANDA,90533,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,20181203,Central Nervous System Stimulant,,WILSHIRE PHARMACEUTICALS INC,2012/07/16-; 2012/07/20-,2012,52536-500; 52536-510,JJ768O327N,Dextroamphetamine Sulfate,Dextroamphetamine,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6b8c97ac-c83c-4a1f-a33c-121239253abf/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6b8c97ac-c83c-4a1f-a33c-121239253abf,6b8c97ac-c83c-4a1f-a33c-121239253abf," methylphenidate hydrochloride tablets: lactose monohydrate, magnesium stearate, microcrystalline cellulose,, talc",Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,ANDA,76353,Dextroamphetamine Sulfate Extended-Release,DEXTROAMPHETAMINE SULFATE,20180119,Central Nervous System Stimulant,,SPECGX LLC,2011/10/07-,2011,0406-8960; 0406-8961; 0406-8962,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/69c40af8-3710-46bf-bd3d-137fe5eea23e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=69c40af8-3710-46bf-bd3d-137fe5eea23e,69c40af8-3710-46bf-bd3d-137fe5eea23e,d&c yellow no,Stimulants
TABLET,ORAL,ANDA,40436,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE SULFATE,20180119,Central Nervous System Stimulant,,SPECGX LLC,2010/02/05-,2010,0406-8958; 0406-8959,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e05cf690-d45a-4696-a1bf-40c9350cc084/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e05cf690-d45a-4696-a1bf-40c9350cc084,e05cf690-d45a-4696-a1bf-40c9350cc084,,Stimulants
TABLET,ORAL,ANDA,204330,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,20171222,Central Nervous System Stimulant,,NOVEL LABORATORIES INC,2016/03/16-,2016,40032-870; 40032-871,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/9f0426b4-ecf2-4345-b1cf-c5f48832126b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9f0426b4-ecf2-4345-b1cf-c5f48832126b,9f0426b4-ecf2-4345-b1cf-c5f48832126b,"corn starch, lactose, sodium paraminobenzoate, stearic acid, talc",Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,NDA authorized generic,17078,Dextroamphetamine SulfateExtended-Release Extended-Release,DEXTROAMPHETAMINE SULFATE,20170925,Central Nervous System Stimulant,,IMPAX GENERICS,1976/08/02-,1976,0115-1702; 0115-1703; 0115-1704,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/36fa0ccd-33aa-4a22-8441-5f55f8d0870c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=36fa0ccd-33aa-4a22-8441-5f55f8d0870c,36fa0ccd-33aa-4a22-8441-5f55f8d0870c,"colloidal silicon dioxide, corn starch, croscarmellose sodium, magnesium stearate, microcrystalline cellulose, pregelatinized starch, povidone, sodium starch glycolate,, stearic acid",Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,ANDA,209111,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,20170919,Central Nervous System Stimulant,,ZYDUS PHARMACEUTICALS USA INC,2017/06/28-,2017,68382-943; 68382-944; 68382-945,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/124c91d5-b533-4caa-aa14-81f1dba9fa90/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=124c91d5-b533-4caa-aa14-81f1dba9fa90,124c91d5-b533-4caa-aa14-81f1dba9fa90,"colloidal silicon dioxide, magnesium stearate, microcrystalline cellulose, povidone,, pregelatinized starch; the 5 mg, 7",Stimulants
TABLET,ORAL,ANDA,204330,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,20170605,Central Nervous System Stimulant,,LUPIN PHARMACEUTICALS INC,2016/04/25-,2016,43386-870; 43386-871,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/9aea6b7c-729c-484d-b625-c3591b63b350/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9aea6b7c-729c-484d-b625-c3591b63b350,9aea6b7c-729c-484d-b625-c3591b63b350,"ammonio methacrylate copolymer, fd&c blue #2 (5 mg, 15 mg, 25 mg, 35 mg,, 40 mg strengths), fda/e172 yellow iron oxide (10 mg, 15 mg, 30 mg, 35 mg, 40 mg strengths), gelatin, ink tan sw-8010, methacrylic acid copolymer, polyethylene glycol, sugar spheres, talc, titanium dioxide, and triethyl citrate",Stimulants
SOLUTION,ORAL,ANDA,40776,dextroamphetamine sulfate,DEXTROAMPHETAMINE SULFATE,20161005,Central Nervous System Stimulant,,MIKART INC,2008/01/29-,2008,46672-646,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/b2fa8299-a9c0-436d-aae0-8c3e44b294a2/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b2fa8299-a9c0-436d-aae0-8c3e44b294a2,b2fa8299-a9c0-436d-aae0-8c3e44b294a2,"microcrystalline cellulose, crospovidone, croscarmellose sodium, corn starch, stearic acid, colloidal silicon dioxide, magnesium stearate,, fd&c blue no",Stimulants
TABLET,ORAL,ANDA,40361,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,20160901,Central Nervous System Stimulant,,TEVA PHARMACEUTICALS USA INC,2001/02/12-,2001,0555-0952; 0555-0953,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/ec2d13f3-d14f-47e4-abe9-7763f95a8e94/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ec2d13f3-d14f-47e4-abe9-7763f95a8e94,ec2d13f3-d14f-47e4-abe9-7763f95a8e94,fd&c blue no,Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,ANDA,76137,Dextroamphetamine Sulfate,DEXTROAMPHETAMINE SULFATE,20101118,Central Nervous System Stimulant,,PHYSICIANS TOTAL CARE INC,2005/08/15-; 2005/11/30-,2005,54868-5388; 54868-5479,JJ768O327N,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/421cf8e0-ef59-4a19-9d1c-e1ec6596f32b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=421cf8e0-ef59-4a19-9d1c-e1ec6596f32b,421cf8e0-ef59-4a19-9d1c-e1ec6596f32b,d&c yellow no,Stimulants
LIQUID,ORAL,ANDA,40776,ProCentra,DEXTROAMPHETAMINE SULFATE,20100630,Central Nervous System Stimulant,,FSC LABORATORIES INC,2010/08/01-,2010,13551-701,JJ768O327N,dextroamphetamine sulfate,dextroamphetamine,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5bc88dc0-b6b2-4c3f-8ecb-03e41b085e1d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5bc88dc0-b6b2-4c3f-8ecb-03e41b085e1d,5bc88dc0-b6b2-4c3f-8ecb-03e41b085e1d,"colloidal silicon dioxide, magnesium stearate, pregelatinized starch",Stimulants
TABLET,ORAL,ANDA,040365;040367,dextroamphetamine sulfate,DEXTROAMPHETAMINE SULFATE,20070407,Central Nervous System Stimulant,,ETHEX CORPORATION,2009/11/01-,2009,58177-311; 58177-312,JJ768O327N,dextroamphetamine sulfate,dextroamphetamine,TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/b2ad8d2b-ed94-43cd-95ea-85e91d997f26/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b2ad8d2b-ed94-43cd-95ea-85e91d997f26,b2ad8d2b-ed94-43cd-95ea-85e91d997f26,"pregelatinized starch, microcrystalline cellulose, sodium starch glyco­late, trimyristin, talc, colloidal silicon dioxide, d&c yellow no",Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,NDA,22063,MYDAYIS,"DEXTROAMPHETAMINE SULFATE, DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, AND AMPHETAMINE SULFATE",20180813,Central Nervous System Stimulant,2001,SHIRE US MANUFACTURING INC,2017/06/20-,2017,54092-468; 54092-471; 54092-474; 54092-477,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/141a7970-3f06-44ea-9ab7-aeece2c085fc/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=141a7970-3f06-44ea-9ab7-aeece2c085fc,141a7970-3f06-44ea-9ab7-aeece2c085fc,,Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,NDA,21303,Adderall XR,"DEXTROAMPHETAMINE SULFATE, DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE SULFATE AND AMPHETAMINE ASPARTATE",20190717,Central Nervous System Stimulant,2001,SHIRE US MANUFACTURING INC,2001/10/11-; 2002/05/22-,2001,54092-381; 54092-383; 54092-385; 54092-387; 54092-389; 54092-391,6DPV8NK46S; G83415V073; JJ768O327N; O1ZPV620O4,AMPHETAMINE ASPARTATE MONOHYDRATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/aff45863-ffe1-4d4f-8acf-c7081512a6c0/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=aff45863-ffe1-4d4f-8acf-c7081512a6c0,aff45863-ffe1-4d4f-8acf-c7081512a6c0," cetyl alcohol, d&c yellow no",Stimulants
"CAPSULE, EXTENDED RELEASE",ORAL,NDA,21303,Adderall XR,"DEXTROAMPHETAMINE SULFATE, DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE SULFATE AND AMPHETAMINE ASPARTATE",20120925,Central Nervous System Stimulant,2001,PHYSICIANS TOTAL CARE INC,2002/07/26-; 2003/03/20-; 2004/08/16-; 2004/08/23-; 2005/03/01-,2002,54868-4640; 54868-4760; 54868-5007; 54868-5140; 54868-5142; 54868-5368,6DPV8NK46S; G83415V073; H527KAP6L5; JJ768O327N,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/35744538-1704-4ee0-954d-52710cf3456d/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=35744538-1704-4ee0-954d-52710cf3456d,35744538-1704-4ee0-954d-52710cf3456d,"microcrystalline cellulose, pregelatinized starch,, talc",Stimulants
TABLET,ORAL,ANDA,206721,"Dextroamphetamine Saccharate, Amphetamine Aspartate (monohydrate), Dextroamphetamine Sulfate, Amphetamine Sulfate","DEXTROAMPHETAMINE, AMPHETAMINE, DEXTROAMPHETAMINE, AMPHETAMINE",20150508,Central Nervous System Stimulant,,MYLAN PHARMACEUTICALS INC,2015/11/10-,2015,0378-4541; 0378-4542; 0378-4543; 0378-4544; 0378-4545; 0378-4546; 0378-4547,6DPV8NK46S; G83415V073; H527KAP6L5; JJ768O327N,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,AMPHETAMINE; DEXTROAMPHETAMINE,CK833KGX7E; TZ47U051FI,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/49289133-6071-406e-8b18-73a6e4db8782/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=49289133-6071-406e-8b18-73a6e4db8782,49289133-6071-406e-8b18-73a6e4db8782,"microcrystalline cellulose, sodium starch glycolate, pregelatinized starch (corn), colloidal silicon dioxide, talc, hydrogenated vegetable oil closeclinical pharmacologypharmacologically, butalbital, aspirin, caffeine combines the analgesic properties of aspirin with the anxiolytic and muscle relaxant properties of butalbital",Stimulants
TABLET,ORAL,ANDA,40701,"Dihydrocodeine Bitartrate, Acetaminophen and Caffeine","DIHYDROCODEINE BITARTRATE, ACETAMINOPHEN AND CAFFEINE",20091124,Central Nervous System Stimulant; Methylxanthine; Opioid Agonist,,PHYSICIANS TOTAL CARE INC,2008/05/20-,2008,54868-5900,362O9ITL9D; 3G6A5W338E; 8LXS95BSA9,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE,362O9ITL9D; 3G6A5W338E; N9I9HDB855,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f3ddb645-028a-4c54-96b9-dbfecacf19bb/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f3ddb645-028a-4c54-96b9-dbfecacf19bb,f3ddb645-028a-4c54-96b9-dbfecacf19bb,"hard gelatin capsules, ethylcellulose, hydroxypropyl methylcellulose, methacrylic acid copolymer, methyl acrylate, methyl methacrylate, opadry beige, sugar spheres, talc,, triethyl citrate",Stimulants
SUPPOSITORY,RECTAL,ANDA,86557,MIGERGOT,ERGOTAMINE TARTRATE AND CAFFEINE,20190814,Central Nervous System Stimulant; Ergotamine Derivative; Methylxanthine,,COSETTE PHARMACEUTICALS INC,1983/10/30-,1983,0713-0166,3G6A5W338E; MRU5XH3B48,CAFFEINE; ERGOTAMINE TARTRATE,CAFFEINE; ERGOTAMINE,3G6A5W338E; PR834Q503T,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3a31ad0c-7bdd-544b-f5df-a99d04cf541c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3a31ad0c-7bdd-544b-f5df-a99d04cf541c,3a31ad0c-7bdd-544b-f5df-a99d04cf541c,fd&c blue no,Stimulants
SUPPOSITORY,RECTAL,ANDA,86557,Migergot,ERGOTAMINE TARTRATE AND CAFFEINE,20180130,Central Nervous System Stimulant; Ergotamine Derivative; Methylxanthine,,HORIZON PHARMA INC,1983/10/30-,1983,75987-090,3G6A5W338E; MRU5XH3B48,CAFFEINE; ERGOTAMINE TARTRATE,CAFFEINE; ERGOTAMINE,3G6A5W338E; PR834Q503T,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4ae331e0-009a-477e-8408-6118dc620634/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4ae331e0-009a-477e-8408-6118dc620634,4ae331e0-009a-477e-8408-6118dc620634," crospovidone, croscarmellose sodium, fd&c blue #1, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid",Stimulants
"TABLET, FILM COATED",ORAL,ANDA,40590,ergotamine tartrate and caffeine,ERGOTAMINE TARTRATE AND CAFFEINE,20171218,Central Nervous System Stimulant; Ergotamine Derivative; Methylxanthine,,CINTEX SERVICES LLC,2016/11/23-,2016,24470-917,3G6A5W338E; MRU5XH3B48,CAFFEINE; ERGOTAMINE TARTRATE,CAFFEINE; ERGOTAMINE,3G6A5W338E; PR834Q503T,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/41f88ae7-c124-5b9c-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=41f88ae7-c124-5b9c-e054-00144ff88e88,41f88ae7-c124-5b9c-e054-00144ff88e88,"lactose anhydrous, lactose monohydrate, magnesium stearate, microcrystalline cellulose, pregelatinized starch,, sodium starch glycolate",Stimulants
